form_id	submission_id	language	suffix	Consent_Form	Q01_Think_Brain_Frequency	Q02_DietInfl	Q02_EducationInfl	Q02_GeneticsInfl	Q02_IncomeInfl	Q02_LifeGoalsInfl	Q02_PhyEnvironmentInfl	Q02_PhyHealthInfl	Q02_ProfessionInfl	Q02_SleepHabitsInfl	Q02_SocEnvironmentInfl	Q02_SubstanceInfl	Q03_Adolescence	Q03_Child	Q03_MiddleAge	Q03_OlderAge	Q03_Womb	Q03_YoungAdult	q04_brain_disease	Q05_AlcoholGen	Q05_ExcerciseGen	Q05_HealthyDietGen	Q05_IntellectGen	Q05_ProtectionGen	Q05_RelaxGen	Q05_SleepGen	Q05_SmokeGen	Q05_SocialiseGen	Q05_SupplementsGen	Q05_WorkLifeBalanceGen	Q06_ExcercisePurp	Q06_HealthyDietPurp	Q06_OtherPurp	Q06_ProtectionPurp	Q06_RelaxPurp	Q06_SleepPurp	Q06_SocialisePurp	Q06_SupplementsPurp	Q06_WorkLifeBalancePurp	Q07_Test_Criteria	Q08_Take_Test	Q09a_Test_Reason	Q09b_Test_Nonpreventable	Q09c_No_Test	Q10_FamilyFriends	Q10_Library	Q10_LifestyleChange	Q10_Plan	Q10_ProfessHelp	Q11_BrainStimuli	Q11_EatHealthy	Q11_ExcerciseMore	Q11_ImprSleepingHabits	Q11_MoreCulture	Q11_MoreRelax	Q11_MoreSocial	Q11_NoAlcohol	Q11_NoSmoking	Q11_OtherChanges	Q12_MotivateChange_Category	Q13_NoChange_Motivation	Q14_ChangeAssistance	Q15_FreetestAuth	Q15_InformAuth	Q15_InsAuth	Q15_RelaxAuth	Q15_SubsAuth	Q15_TaxAuth	Q16_BrainHealthSpecialist	Q16_GP	Q16_HealthAuthWebsites	Q16_Newspaper	Q16_OnlineForum	Q16_PublicResearch	Q16_ScientificJournals	Q16_SocialMedia	Q16_TVRadio	Q17_BrainResearch_Part	Q18_Age	Q19_Residence	Q20_Sex	Q21_Education_Coded	Q22_Relationship_Status	Q23_Vocation_categories	Q24_Exp_HealthCare	Q25_Cognitive_Health	Q26_Emotional_Health	Q27_Illness	Q28_BrainDisease_Care	Q02_DietInfl_dummy	Q02_EducationInfl_dummy	Q02_GeneticsInfl_dummy	Q02_IncomeInfl_dummy	Q02_LifeGoalsInfl_dummy	Q02_PhyEnvironmentInfl_dummy	Q02_PhyHealthInfl_dummy	Q02_ProfessionInfl_dummy	Q02_SleepHabitsInfl_dummy	Q02_SocEnvironmentInfl_dummy	Q02_SubstanceInfl_dummy	Q03_Adolescence_dummy	Q03_Child_dummy	Q03_MiddleAge_dummy	Q03_OlderAge_dummy	Q03_Womb_dummy	Q03_YoungAdult_dummy	Q05_AlcoholGen_dummy	Q05_ExcerciseGen_dummy	Q05_HealthyDietGen_dummy	Q05_IntellectGen_dummy	Q05_ProtectionGen_dummy	Q05_RelaxGen_dummy	Q05_SleepGen_dummy	Q05_SmokeGen_dummy	Q05_SocialiseGen_dummy	Q05_SupplementsGen_dummy	Q05_WorkLifeBalanceGen_dummy	Q06_ExcercisePurp_dummy	Q06_HealthyDietPurp_dummy	Q06_OtherPurp_dummy	Q06_ProtectionPurp_dummy	Q06_RelaxPurp_dummy	Q06_SleepPurp_dummy	Q06_SocialisePurp_dummy	Q06_SupplementsPurp_dummy	Q06_WorkLifeBalancePurp_dummy	Q10_FamilyFriends_dummy	Q10_Library_dummy	Q10_LifestyleChange_dummy	Q10_Plan_dummy	Q10_ProfessHelp_dummy	Q11_BrainStimuli_dummy	Q11_EatHealthy_dummy	Q11_ExcerciseMore_dummy	Q11_ImprSleepingHabits_dummy	Q11_MoreCulture_dummy	Q11_MoreRelax_dummy	Q11_MoreSocial_dummy	Q11_NoAlcohol_dummy	Q11_NoSmoking_dummy	Q11_OtherChanges_dummy	Q15_FreetestAuth_dummy	Q15_InformAuth_dummy	Q15_InsAuth_dummy	Q15_RelaxAuth_dummy	Q15_SubsAuth_dummy	Q15_TaxAuth_dummy	Q16_BrainHealthSpec_dummy	Q16_GP_dummy	Q16_HealthAuthWebsites_dummy	Q16_Newspaper_dummy	Q16_OnlineForum_dummy	Q16_PublicResearch_dummy	Q16_ScientificJournals_dummy	Q16_SocialMedia_dummy	Q16_TVRadio_dummy	Q18_Age_dummy	Q19_Residence_dummy	Q20_Sex_dummy	Q21_Education_Coded_dummy	Q22_Relationship_Status_dummy	Q06_BrainHealthPurpose_Spec	Q07_Test_Criteria_Spec	Q09a_Test_Reason_Spec	Q09c_OtherReason_Spec	Q10_TestReaction_Spec	Q11_OtherChanges_Spec	Q12_OtherChangeMotivation_Spec	Q13_SpecifyNoMotivation_Spec	Q14_OtherAssistance_Spec
131674	5913174	simplified chinese	ch	Yes	Frequently	Strong	Strong	Strong	Strong	Strong	Strong	Very strong	Strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Addiction;Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Never	Frequently	Frequently	Frequently	Frequently	Frequently	Never	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Accurate;Quick	Definitely	Learn about the risk	Definitely	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Diagnose;Fun;WorseMemory	NoMotivation;NoTime	GP;GroupSupport	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Great extent	Great extent	Great extent	Great extent	Great extent	Great extent	Great extent	No	26-40	China	Female	GradSchool	DomesticPartner	Employed	Yes	NA	NA	Yes	Yes	2	2	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	4	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
131674	5948608	simplified chinese	ch	Yes	Frequently	Strong	Strong	Very strong	Strong	Very strong	Strong	Very strong	Strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Very important	Important	Very important	Arthritis;Cancer	Never	Frequently	Frequently	Frequently	Frequently	Frequently	Occasionally	Never	Occasionally	Frequently	Frequently	Frequently	Frequently	Occasionally	Frequently	Frequently	Occasionally	Occasionally	Frequently	Frequently	Accurate;Cheap;Quick	Definitely	Learn about the risk	Probably	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Already do	Already do	Very likely	Very likely	Very likely	Already do	Already do	Likely	ImpactKnown;PersonalAdvice;WorseMemory	Alone;GiveupHobby;NoMotivation	GP;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Great extent	Moderately	Moderately	NA	Great extent	Moderately	Moderately	No	61-70	Malaysia	Female	GradSchool	DomesticPartner	Stay-at-home	No	NA	NA	Yes	No	2	2	1	2	1	2	1	2	1	2	1	1	1	1	1	2	1	4	1	1	1	1	1	2	4	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	3	3	1	1	1	3	3	2	1	1	1	1	1	1	1	1	1	2	2	NA	1	2	2	4	103	1	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
131674	5951116	simplified chinese	ch	Yes	Occasionally	Strong	Strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very important	Very important	Important	Important	Very important	Important	NA	Never	Occasionally	Frequently	Occasionally	Rarely	Rarely	Rarely	Never	Rarely	Occasionally	Never	Occasionally	Frequently	NA	Never	Rarely	Rarely	Rarely	Rarely	Never	Cheap;OnlineCriteria;SocialSecurity	Probably	Information	Definitely	NA	Definitely not	Likely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Already do	Very likely	Already do	Likely	Very likely	Very likely	NA	Affordable;ImpactKnown;PersonalAdvice	Expensive;NoMotivation;NoTime	SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Great extent	Not at all	Moderately	Moderately	Moderately	Not at all	Moderately	No	18-25	Malaysia	Female	GradSchool	Single	Student	Yes	NA	NA	No	No	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	4	2	1	2	3	3	3	4	3	2	4	2	1	NA	4	3	3	3	3	4	4	2	1	1	1	1	1	1	3	1	3	2	1	1	NA	1	1	1	1	1	1	1	1	1	3	2	2	2	3	2	1	103	1	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
131674	5951172	simplified chinese	ch	Yes	Occasionally	Strong	Strong	Weak	Moderate	Strong	Strong	Strong	Strong	Moderate	Strong	Very strong	Important	Very important	Important	Important	Important	Important	NA	Never	Frequently	Frequently	Frequently	NA	Frequently	Occasionally	Never	Frequently	Frequently	Occasionally	Frequently	Frequently	Frequently	Frequently	Occasionally	Occasionally	Frequently	Frequently	Occasionally	Accurate	Definitely	Information;Prepare	Definitely	NA	Likely	Definitely	Definitely	Definitely	Definitely	Very likely	Already do	Already do	Very likely	Very likely	Already do	Very likely	Already do	Already do	Already do	Fun;ImpactKnown	NoMotivation	GP;MobileApp	Yes	Yes	Unknown	Yes	Yes	Yes	Moderately	Moderately	Moderately	Great extent	Moderately	Moderately	Great extent	Moderately	Moderately	Yes	61-70	Malaysia	Female	GradSchool	DomesticPartner	Pensioned	No	Excellent	NA	No	No	2	2	4	3	2	2	2	2	3	2	1	2	1	2	2	2	2	4	1	1	1	NA	1	2	4	1	1	2	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	3	3	1	1	3	1	3	3	3	1	1	3	1	1	1	2	2	2	1	2	2	1	2	2	4	103	1	5	3	Think positive, forget any worries	NA	NA	NA	没有不能解决的，要有信心	NA	NA	NA	NA
131674	5951737	simplified chinese	ch	Yes	Occasionally	Strong	Moderate	Strong	Moderate	Moderate	Moderate	Strong	Moderate	Very strong	Very strong	Very strong	Important	Very important	Important	Important	Very important	Important	Anxiety	Never	Rarely	Occasionally	Rarely	Never	Rarely	Rarely	Never	Occasionally	Never	Rarely	Rarely	Occasionally	NA	Never	Occasionally	Occasionally	Occasionally	Never	Rarely	Accurate;Cheap;Quick	Probably	Information	Probably	NA	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Likely	Unlikely	Likely	Likely	Already do	Already do	NA	Affordable;Fun;WorseMemory	NoMotivation;NoTime	Checkup;GP	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	No	18-25	Malaysia	Male	HighSchool	Single	Student	No	NA	NA	No	No	2	3	2	3	3	3	2	3	1	1	1	2	1	2	2	1	2	4	3	2	3	4	3	3	4	2	4	3	3	2	NA	4	2	2	2	4	3	2	2	2	2	2	2	2	2	2	4	2	2	3	3	NA	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	103	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
131674	5951902	simplified chinese	ch	Yes	Never	Moderate	Very strong	Strong	Strong	Very strong	Strong	Very strong	Very strong	Very strong	Very strong	Very strong	Very important	Important	Important	Not important	Moderately important	Very important	Anxiety;Migraine	Never	Rarely	Occasionally	Occasionally	Never	Occasionally	Occasionally	Rarely	Rarely	Rarely	Never	Rarely	Never	Rarely	Never	Occasionally	Occasionally	Rarely	Rarely	Never	Accurate	Probably	Information	Probably	NA	Unlikely	Definitely not	Likely	Likely	Likely	Already do	Likely	Likely	Likely	Very likely	Likely	Very likely	Already do	Already do	Already do	Fun	Expensive	Checkup;GP;MobileApp	Yes	Yes	Yes	Yes	Yes	NA	Great extent	Great extent	Moderately	Not at all	Moderately	Moderately	Moderately	Not at all	Not at all	No	26-40	Belarus	Male	GradSchool	Single	Student	No	Excellent	Poor	No	No	3	1	2	2	1	2	1	1	1	1	1	1	2	2	4	3	1	4	3	2	2	4	2	2	3	3	3	4	3	4	3	4	2	2	3	3	4	3	4	2	2	2	3	2	2	2	1	2	1	3	3	3	1	1	1	1	1	NA	1	1	2	3	2	2	2	3	3	2	17	2	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
131674	5958362	simplified chinese	ch	Yes	Rarely	Strong	Moderate	Very strong	Moderate	Weak	Strong	Strong	Strong	Strong	Moderate	Strong	Important	Important	Important	Moderately important	Very important	Important	NA	Occasionally	Never	Never	Frequently	Frequently	Never	Rarely	Frequently	Frequently	Never	Occasionally	Never	Never	Never	Frequently	Never	Rarely	Frequently	Never	Occasionally	Accurate;Cheap;Quick	Probably	Prepare;Respond	Definitely	NA	Likely	Likely	Definitely	Definitely	Definitely	Already do	Very likely	Very likely	Very likely	Not at all	Very likely	Already do	Very likely	Likely	Not at all	Affordable	NoMotivation;NoTime	GP	Yes	Yes	Yes	Yes	Yes	Yes	Moderately	Great extent	Not at all	Not at all	Moderately	Moderately	Moderately	Not at all	Not at all	No	26-40	Malaysia	Male	GradSchool	DomesticPartner	Employed	No	NA	NA	No	No	2	3	1	3	4	2	2	2	2	3	2	2	2	2	3	1	2	2	4	4	1	1	4	3	1	1	4	2	4	4	4	1	4	3	1	4	2	2	2	1	1	1	3	1	1	1	5	1	3	1	2	5	1	1	1	1	1	1	2	1	3	3	2	2	2	3	3	2	103	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA
131674	5958440	simplified chinese	ch	Yes	Frequently	Strong	Moderate	Strong	Moderate	Strong	Strong	Strong	Moderate	Strong	Strong	Very strong	Very important	Very important	Important	Important	Very important	Very important	Anxiety	Never	Frequently	Frequently	Frequently	NA	Frequently	Occasionally	Never	Frequently	Frequently	Frequently	Frequently	Frequently	NA	Never	Frequently	Occasionally	Frequently	Frequently	Frequently	Accurate;OnlineCriteria;Quick	Definitely	Information	Definitely	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Already do	Already do	Already do	Very likely	Already do	Very likely	Already do	Already do	Already do	Already do	Fun;ImpactKnown;PersonalAdvice	NoMotivation	GP;MobileApp	Yes	Yes	Unknown	Yes	Yes	Yes	Moderately	Moderately	Moderately	Great extent	Great extent	Great extent	Great extent	Moderately	Moderately	Yes	61-70	Malaysia	Female	GradSchool	DomesticPartner	Pensioned	Yes	Excellent	NA	No	No	2	3	2	3	2	2	2	3	2	2	1	1	1	2	2	1	1	4	1	1	1	NA	1	2	4	1	1	1	1	1	NA	4	1	2	1	1	1	1	1	1	1	1	3	3	3	1	3	1	3	3	3	3	1	1	3	1	1	1	2	2	2	1	1	1	1	2	2	4	103	1	5	3	多阅读理解	NA	NA	NA	要对自己有信心能克服	还有什么能使脑健康的，我会去做	NA	NA	NA
131674	5958614	simplified chinese	ch	Yes	Frequently	Strong	Moderate	Strong	Moderate	Very strong	Moderate	Strong	Moderate	Very strong	Strong	Moderate	Important	Very important	Important	Very important	Very important	Moderately important	NA	Occasionally	Frequently	Frequently	Rarely	Never	Frequently	Frequently	Never	Frequently	Occasionally	Frequently	Frequently	Frequently	NA	Rarely	Frequently	Frequently	Frequently	Occasionally	Frequently	Accurate;Cheap;Quick	Definitely	Learn about the risk	Definitely	NA	Definitely	Likely	Likely	Likely	Definitely	Very likely	NA	Very likely	Very likely	NA	Very likely	Very likely	NA	NA	NA	Affordable;Diagnose;WorseMemory	Expensive;NoInfo;NotHelp	Checkup;GP;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Great extent	Great extent	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	No	41-60	Malaysia	Female	GradSchool	Single	Employed	No	NA	NA	No	No	2	3	2	3	1	3	2	3	1	2	3	2	1	2	1	1	3	2	1	1	3	4	1	1	4	1	2	1	1	1	NA	3	1	1	1	2	1	1	2	2	2	1	1	NA	1	1	NA	1	1	NA	NA	NA	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	103	1	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
131674	5958743	simplified chinese	ch	Yes	Frequently	Very strong	Strong	Very strong	Strong	Strong	Strong	Very strong	Very strong	Very strong	Strong	Very strong	Very important	Very important	Very important	Very important	Very important	Very important	Migraine	Rarely	Occasionally	Frequently	Frequently	Frequently	Occasionally	Frequently	Never	Frequently	Rarely	Frequently	Occasionally	Frequently	NA	Frequently	Frequently	Frequently	Frequently	Occasionally	Frequently	OnlineCriteria;Quick;SocialSecurity	Probably	Learn about the risk	Probably	NA	Definitely	Definitely	Definitely	Definitely	Likely	Very likely	Already do	Likely	Very likely	Very likely	Likely	Very likely	Already do	Already do	NA	Family;ImpactKnown;WorseMemory	Expensive;NoInfo;NoMotivation	Checkup;GP;MobileApp;SupportFamily	Yes	Yes	Yes	Yes	Yes	Yes	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	No	41-60	Malaysia	Female	GradSchool	DomesticPartner	Employed	No	NA	NA	No	Yes	1	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	3	2	1	1	1	2	1	4	1	3	1	2	1	NA	1	1	1	1	2	1	1	1	1	1	2	1	3	2	1	1	2	1	3	3	NA	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	103	1	5	3	Music making, gardening	NA	NA	NA	NA	NA	NA	NA	NA
131674	5959009	simplified chinese	ch	Yes	Rarely	Moderate	Very strong	Strong	Strong	Strong	Strong	Very strong	Very strong	Strong	Very strong	Strong	Important	Important	Important	Important	Important	Important	Alzheimer;Anxiety;Bipolar;Depression;Migraine;Parkinson;Schizophrenia;Stroke	Rarely	Frequently	Frequently	Frequently	Occasionally	Occasionally	Rarely	Never	Frequently	Rarely	Occasionally	Frequently	Frequently	NA	Frequently	Frequently	Frequently	Frequently	Frequently	Frequently	Accurate;SocialSecurity	Probably	Information;Respond	Probably	NA	Definitely	Definitely	Definitely	Definitely	Definitely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	Very likely	NA	Affordable;PersonalAdvice;WorseMemory	GiveupHobby;NoInfo;NoTime	Checkup;GP;GroupSupport;MobileApp	Yes	Yes	No	Yes	Yes	Yes	Great extent	Great extent	Moderately	Moderately	Great extent	Great extent	Great extent	Moderately	Moderately	No	18-25	Malaysia	Female	GradSchool	Single	Student	No	NA	NA	No	No	3	1	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	3	1	1	1	2	2	3	4	1	3	2	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	2	1	1	1	1	1	2	2	1	1	1	2	2	1	103	1	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
